"Pridelovalci, površina, število vinogradov in število sadik glede na sedež kmetijskega gospodarstva, obèine, Slovenija, 2009"

" ";"2009";" ";" ";" "
" ";"Pridelovalci";"Površina (ha)";"Število vinogradov";"Število sadik (v 1000)"
"SLOVENIJA";25582;16354.3;42970;58914.1
"Ajdovšèina";608;751.8;1749;2504.6
"Apaèe";34;37.7;59;147.4
"Beltinci";95;17.5;118;86.3
"Benedikt";34;11.8;36;42.1
"Bistrica ob Sotli";178;114.7;308;450.4
"Bled";z;z;z;z
"Bloke";z;z;z;z
"Bohinj";z;z;z;z
"Bovec";z;z;z;z
"Braslovèe";6;2.8;10;9.8
"Brda";799;1884.4;2958;6315.0
"Brezovica";6;0.4;7;1.8
"Brežice";1538;709.3;2365;2753.6
"Cankova";51;13.7;71;50.4
"Celje";67;17.4;87;63.8
"Cerklje na Gorenjskem";z;z;z;z
"Cerknica";3;z;4;1.5
"Cerkvenjak";58;20.7;72;77.1
"Cirkulane";218;107.0;312;402.7
"Èrenšovci";57;19.1;66;89.1
"Èrnomelj";571;81.9;798;370.0
"Destrnik";78;55.8;107;199.8
"Divaèa";z;z;z;z
"Dobje";3;0.7;4;3.7
"Dobrepolje";z;z;z;z
"Dobrna";14;2.7;17;10.7
"Dobrova - Polhov Gradec";4;2.2;5;6.6
"Dobrovnik/Dobronak";138;24.3;231;131.9
"Dol pri Ljubljani";z;z;z;z
"Dolenjske Toplice";64;5.7;74;28.1
"Domžale";15;3.8;19;12.3
"Dornava";59;9.1;66;45.1
"Dravograd";4;1.0;4;5.7
"Duplek";65;30.7;78;106.3
"Gorenja vas - Poljane";z;z;z;z
"Gorišnica";138;38.4;165;168.2
"Gornja Radgona";324;554.4;588;1982.8
"Gornji Petrovci";58;10.7;73;39.7
"Grad";48;11.8;54;45.4
"Grosuplje";13;2.1;17;9.4
"Hajdina";25;6.4;26;25.0
"Hoèe - Slivnica";44;34.2;58;114.3
"Hodoš/Hodos";8;z;12;z
"Hrastnik";9;1.1;9;4.5
"Hrpelje - Kozina";z;z;z;z
"Idrija";z;z;z;z
"Ig";3;0.3;4;1.2
"Ilirska Bistrica";z;z;z;z
"Ivanèna Gorica";23;4.1;30;18.6
"Izola/Isola";125;219.9;385;680.0
"Jesenice";z;z;z;z
"Juršinci";215;117.3;338;529.1
"Kamnik";11;1.1;12;4.5
"Kanal";9;4.4;10;12.2
"Kidrièevo";24;5.1;25;20.1
"Kobilje";65;11.6;134;61.9
"Koèevje";z;z;z;z
"Komen";226;181.1;571;569.4
"Komenda";z;z;z;z
"Koper/Capodistria";542;1282.5;1543;4197.2
"Kostanjevica na Krki";248;76.7;386;324.2
"Kozje";304;119.4;462;468.2
"Kranj";23;3.1;26;14.2
"Kranjska Gora";z;z;z;z
"Križevci";62;25.4;84;105.4
"Krško";1827;677.1;2740;2799.0
"Kungota";132;189.3;219;780.2
"Kuzma";6;z;6;10.2
"Laško";12;1.8;15;6.7
"Lenart";106;63.7;131;236.9
"Lendava/Lendva";800;173.9;1206;922.5
"Litija";65;9.2;91;38.9
"Ljubljana";259;69.4;333;256.6
"Ljutomer";447;394.3;669;1324.9
"Log - Dragomer";5;0.6;6;2.8
"Logatec";z;z;z;z
"Loška dolina";z;z;z;z
"Lukovica";3;0.4;3;2.1
"Majšperk";115;43.0;164;137.7
"Makole";84;19.4;105;80.7
"Maribor";418;570.8;642;2170.9
"Markovci";107;39.6;130;161.9
"Medvode";8;1.0;8;3.5
"Mengeš";3;0.4;3;z
"Metlika";452;216.2;951;851.5
"Miklavž na Dravskem polju";12;4.5;17;15.1
"Miren - Kostanjevica";65;38.1;147;122.1
"Mirna Peè";120;14.4;147;71.6
"Mislinja";3;0.3;3;1.7
"Mokronog - Trebelno";187;34.5;244;166.1
"Moravèe";z;z;z;z
"Moravske Toplice";329;76.1;556;329.8
"Mozirje";z;z;z;z
"Murska Sobota";233;87.4;328;335.1
"Muta";z;z;z;z
"Naklo";z;z;z;z
"Nazarje";z;z;z;z
"Nova Gorica";656;728.0;1616;2293.0
"Novo mesto";1037;156.1;1324;670.7
"Odranci";11;1.7;15;z
"Oplotnica";111;56.0;150;207.4
"Ormož";850;994.6;1390;3535.9
"Pesnica";233;300.5;356;1220.3
"Piran/Pirano";147;117.8;317;328.9
"Podèetrtek";288;127.3;434;516.9
"Podlehnik";153;133.7;237;346.1
"Poljèane";91;30.5;119;123.8
"Polzela";18;2.9;20;9.7
"Postojna";4;2.9;7;9.9
"Prebold";6;1.1;7;4.6
"Preddvor";z;z;z;z
"Ptuj";263;216.9;360;667.9
"Puconci";125;44.6;166;175.6
"Raèe - Fram";44;24.9;54;88.4
"Radeèe";23;3.4;25;14.1
"Radenci";252;233.9;402;825.4
"Radlje ob Dravi";z;z;z;z
"Radovljica";7;1.2;7;4.3
"Ravne na Koroškem";3;0.4;3;2.1
"Razkrižje";41;22.5;58;100.1
"Renèe - Vogrsko";122;94.9;212;291.0
"Ribnica";z;z;z;z
"Ribnica na  Pohorju";z;z;z;z
"Rogaška Slatina";287;75.6;367;372.0
"Rogašovci";71;16.0;90;59.2
"Rogatec";85;12.6;103;61.9
"Ruše";11;7.6;16;31.7
"Selnica ob Dravi";11;10.4;18;35.2
"Semiè";285;62.2;531;278.2
"Sevnica";1128;266.3;1524;1053.8
"Sežana";447;408.2;1495;1215.9
"Slovenj Gradec";6;1.7;8;8.1
"Slovenska Bistrica";275;242.7;369;814.2
"Slovenske Konjice";287;185.7;391;703.6
"Središèe ob Dravi";76;33.1;83;133.3
"Starše";10;2.7;16;9.6
"Straža";62;5.2;75;27.0
"Sveta Ana";66;45.5;91;177.0
"Sveta Trojica v Slov. goricah";25;6.9;25;27.1
"Sveti Andraž v Slov. goricah";61;30.9;89;140.5
"Sveti Jurij ob Šèavnici";159;65.4;204;252.0
"Sveti Jurij v Slov. goricah";61;30.4;74;112.1
"Sveti Tomaž";103;22.8;115;94.0
"Šalovci";23;5.9;31;23.1
"Šempeter - Vrtojba";49;28.7;83;82.6
"Šenèur";4;0.7;5;3.1
"Šentilj";117;61.5;155;241.3
"Šentjernej";582;139.3;837;584.8
"Šentjur";335;110.8;434;491.5
"Šentrupert";164;32.4;218;148.4
"Škocjan";252;58.8;370;233.4
"Škofja Loka";4;0.7;4;3.7
"Škofljica";9;1.0;9;4.4
"Šmarje pri Jelšah";560;139.7;724;643.8
"Šmarješke Toplice";177;45.6;239;177.3
"Šmartno ob Paki";24;3.5;32;17.4
"Šmartno pri Litiji";27;3.4;39;20.0
"Šoštanj";9;1.1;10;5.1
"Štore";19;3.7;23;16.7
"Tabor";z;z;z;z
"Tišina";17;3.4;19;15.7
"Trbovlje";25;4.6;38;16.7
"Trebnje";441;57.3;565;278.0
"Trnovska vas";34;9.4;43;36.3
"Trzin";z;z;z;z
"Tržiè";4;0.4;4;1.7
"Turnišèe";190;28.6;227;160.1
"Velenje";44;10.3;63;44.1
"Velika Polana";126;19.2;155;123.2
"Velike Lašèe";3;z;3;1.1
"Veržej";33;13.4;36;48.5
"Videm";247;132.5;372;436.7
"Vipava";361;855.4;918;2581.6
"Vitanje";z;z;z;z
"Vojnik";60;14.2;83;56.1
"Vrhnika";11;2.1;12;8.2
"Vuzenica";z;z;z;z
"Zagorje ob Savi";8;0.9;9;3.9
"Zavrè";111;165.7;210;451.1
"Zreèe";55;14.7;59;59.0
"Žalec";38;7.7;46;30.0
"Železniki";3;0.2;3;1.2
"Žetale";107;23.6;137;83.3
"Žiri";z;z;z;z
"Žirovnica";z;z;z;z
"Žužemberk";19;1.9;22;12.0
"Nerazvršèeno";118;134.3;195;483.0

"Vir: Statistièni urad Republike Slovenije. "
" "
" Zaradi zaokroževanja števil se seštevki ponekod ne ujemajo."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot ((seznam "
"HREF=../database/Meta/Klas/SKTE.htm TARGET=_blank) opis in "
"pojasnila), raven SKTE 5. Opombe o spremembah posameznih obèin so "
"zapisane k vsaki spremenjeni obèini in so ob izpisu tabele na zaslon "
"dostopne s klikom na ikono za opombe (zvezdica). V opombah je na "
"zaèetku naveden datum, s katerim je opisana teritorialna sprememba "
"upoštevana pri teritorialnem razvršèanju enot za statistiène namene. "
"Pri veèini opomb je v oklepaju naveden Uradni list, v katerem so bile "
"objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno "
"zadnje veljavno stanje imen obèin."

